Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Steven Adams,C,26,OKC,63,1680,478,1,3,201,583,146,51,67,684,249.2
Bam Adebayo,PF,22,MIA,72,2417,790,2,14,382,735,368,82,93,1146,397.9
LaMarcus Aldridge,C,34,SAS,53,1754,793,61,157,191,392,129,36,87,1001,309.15
Jarrett Allen,C,21,BRK,70,1852,465,0,6,270,671,110,40,92,775,269.8
Kyle Anderson,PF,26,MEM,67,1330,331,24,85,78,285,162,54,37,390,163.32
Giannis Antetokounmpo,PF,25,MIL,63,1917,1238,89,293,629,856,354,61,66,1857,569.28
Carmelo Anthony,PF,35,POR,58,1902,782,87,226,161,368,85,49,27,895,286.75
OG Anunoby,SF,22,TOR,69,2066,566,89,228,102,364,108,96,45,733,255.1
Ryan Arcidiacono,PG,25,CHI,58,930,220,54,138,38,110,96,27,3,261,103.08
Trevor Ariza,SF,34,TOT,53,1493,324,77,207,74,246,91,69,15,423,163.7
D.J. Augustin,PG,32,ORL,57,1420,461,70,201,181,122,262,34,1,599,200.95
Lonzo Ball,PG,22,NOP,63,2025,687,148,395,76,383,438,88,38,745,325.08
Mo Bamba,C,21,ORL,62,878,286,37,107,46,302,42,23,86,332,142.5
Harrison Barnes,PF,27,SAC,72,2482,793,102,268,267,355,159,43,12,1046,319.4
RJ Barrett,SG,19,NYK,56,1704,727,63,197,254,279,143,55,17,803,263.1
Will Barton,SF,29,DEN,58,1916,738,108,288,133,365,212,61,29,874,302
Kent Bazemore,SF-SG,30,TOT,68,1688,534,84,244,147,294,93,74,40,597,222.12
Darius Bazley,PF,19,OKC,61,1130,317,49,141,62,246,41,23,41,342,137.62
Bradley Beal,SG,26,WAS,57,2053,1303,170,481,457,242,347,71,23,1741,494.3
Malik Beasley,SG,23,TOT,55,1209,534,107,276,66,148,75,40,8,615,197.1
Marco Belinelli,SG,33,SAS,57,883,314,67,178,58,99,69,12,1,361,122.15
Dāvis Bertāns,PF,27,WAS,54,1583,610,200,472,122,245,92,37,33,834,271.82
Patrick Beverley,PG,31,LAC,51,1342,341,80,206,47,266,183,54,25,405,176.03
Goga Bitadze,C,20,IND,54,471,150,8,42,33,106,23,10,37,172,66.48
Bismack Biyombo,C,27,CHO,53,1029,278,0,0,151,308,50,10,49,393,136.8
Nemanja Bjelica,PF,31,SAC,72,2011,653,134,320,84,458,203,62,40,831,304.8
Eric Bledsoe,PG,30,MIL,61,1646,703,74,215,214,282,328,57,26,911,300.72
Bogdan Bogdanović,SG,27,SAC,61,1766,766,164,441,116,207,207,64,15,924,303.75
Bojan Bogdanović,SF,30,UTA,63,2083,935,189,457,277,259,131,34,7,1275,364.88
Isaac Bonga,SF,20,WAS,66,1250,234,25,71,85,222,76,45,22,330,124.03
Devin Booker,SG,23,PHO,70,2512,1283,141,398,509,297,456,49,18,1863,519.18
Chris Boucher,PF,27,TOR,62,819,299,38,118,116,277,26,22,61,411,147.73
Tony Bradley,C,22,UTA,58,663,189,3,3,46,267,23,14,33,285,102.68
Mikal Bridges,SF,23,PHO,73,2042,484,70,194,122,292,129,102,46,667,229.88
Miles Bridges,SF,21,CHO,65,1995,753,99,300,131,362,114,40,48,843,286.7
Malcolm Brogdon,PG,27,IND,54,1666,744,75,230,186,262,381,35,10,893,301.6
Dillon Brooks,SG,24,MEM,73,2112,1068,147,411,203,243,150,63,27,1181,364.28
Bruce Brown,SG,23,DET,58,1634,447,33,96,119,274,230,63,29,517,200.08
Jaylen Brown,SF,23,BOS,57,1934,887,129,338,243,364,118,65,20,1159,347.82
Sterling Brown,SF,24,MIL,52,767,256,44,136,40,183,51,29,7,266,109.8
Troy Brown Jr.,SG,20,WAS,69,1782,622,61,179,139,383,178,85,7,716,258.55
Jalen Brunson,PG,23,DAL,57,1022,388,43,120,75,134,188,22,4,466,158.07
Alec Burks,SG,28,TOT,66,1754,768,116,301,265,282,189,62,17,993,310.8
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,525,386,350,103,32,1157,356.35
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,102,142,111,57,14,645,203
Jevon Carter,PG,24,PHO,58,945,243,62,146,27,118,84,47,17,287,113.5
Vince Carter,SF,43,ATL,60,876,304,61,202,29,124,48,23,25,298,118.1
Alex Caruso,PG,25,LAL,64,1175,291,40,120,94,123,124,70,18,349,132.75
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,66,315,70,49,61,390,146.58
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,156,365,114,39,62,548,190.78
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,112,345,81,32,48,700,211.88
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,165,187,136,46,16,1078,318.68
Pat Connaughton,SG,27,MIL,67,1243,301,55,166,40,284,107,25,31,360,152.18
Robert Covington,PF-C,29,TOT,70,2137,723,161,480,124,463,88,115,93,870,328.4
Torrey Craig,SF,29,DEN,58,1072,269,45,138,36,189,47,23,36,315,120.93
Jae Crowder,SF,29,TOT,65,1875,563,135,394,125,384,161,72,24,684,266.5
Jarrett Culver,SG,20,MIN,63,1506,569,66,221,117,212,110,57,38,580,208.48
Seth Curry,SG,29,DAL,64,1576,574,145,321,97,145,124,38,9,793,237.43
Anthony Davis,PF,26,LAL,62,2131,1096,72,218,525,577,200,91,143,1618,475.9
Terence Davis,SG,22,TOR,72,1209,436,94,242,59,237,115,39,14,543,192.82
Matthew Dellavedova,PG,29,CLE,57,821,175,21,91,37,75,180,20,2,177,86.62
DeMar DeRozan,SF,30,SAS,68,2316,1049,9,35,451,375,380,70,20,1504,417.78
Gorgui Dieng,C,30,TOT,63,1096,364,54,152,101,354,73,51,59,464,183.12
Spencer Dinwiddie,SG,26,BRK,64,1994,1021,123,400,446,221,432,40,21,1318,407.42
Donte DiVincenzo,SG,23,MIL,66,1520,510,83,247,86,318,154,85,20,610,229.2
Luka Dončić,PG,20,DAL,61,2047,1255,171,541,562,573,538,62,14,1759,560.8
Goran Dragić,PG,33,MIA,59,1663,724,124,338,246,187,301,40,10,953,301.75
Andre Drummond,C,26,TOT,57,1879,784,5,35,294,864,152,109,93,1010,370.9
Kris Dunn,PG,25,CHI,51,1269,342,29,112,54,186,173,101,17,373,154.85
Joel Embiid,C,25,PHI,51,1506,801,57,172,435,593,152,45,65,1172,363.9
James Ennis,SF,29,TOT,69,1265,359,55,169,98,245,63,35,22,454,161.22
Derrick Favors,C,28,NOP,51,1243,339,1,7,71,501,81,30,46,459,179.6
Terrance Ferguson,SF,21,OKC,56,1257,220,49,168,20,74,51,27,17,220,89.85
Bruno Fernando,C,21,ATL,56,713,199,5,37,51,198,49,18,17,240,93.1
Dorian Finney-Smith,PF,26,DAL,71,2120,522,114,303,108,405,114,45,39,678,249.75
Bryn Forbes,SG,26,SAS,63,1579,581,148,381,90,126,108,33,0,707,224.38
Evan Fournier,SG,27,ORL,66,2076,929,173,434,220,171,209,71,15,1221,357.55
De'Aaron Fox,PG,22,SAC,51,1634,815,54,185,342,196,348,74,25,1077,324.88
Markelle Fultz,PG,21,ORL,72,1996,772,36,135,159,238,369,90,11,870,295.08
Danilo Gallinari,PF,31,OKC,62,1834,817,178,439,298,322,119,42,5,1160,344
Langston Galloway,SG,28,DET,66,1702,542,132,331,85,149,101,48,11,677,217.57
Darius Garland,PG,20,CLE,59,1824,699,105,296,72,111,229,42,4,728,243.3
Rudy Gay,PF,33,SAS,67,1461,596,74,220,136,362,114,35,33,726,247.02
Taj Gibson,C,34,NYK,62,1025,286,4,14,56,267,52,27,30,379,130.22
Shai Gilgeous-Alexander,SG,21,OKC,70,2428,1015,87,251,357,412,232,79,47,1331,401.72
Rudy Gobert,C,27,UTA,68,2333,557,0,0,403,916,101,51,135,1026,349.5
Aaron Gordon,PF,24,ORL,62,2017,767,73,237,224,475,228,51,39,894,318.8
Devonte' Graham,PG,24,CHO,63,2211,963,218,585,233,212,471,62,15,1145,401.47
Treveon Graham,SG,26,TOT,55,929,242,33,120,56,150,45,24,6,243,98.35
Jerami Grant,PF,25,DEN,71,1892,634,98,252,196,248,88,50,57,851,260.22
Danny Green,SG,32,LAL,68,1687,474,120,327,48,225,91,85,32,547,207.55
JaMychal Green,PF,29,LAC,63,1307,352,92,238,48,388,49,29,24,430,179.52
Tim Hardaway Jr.,SG,27,DAL,71,2091,884,204,513,182,232,137,41,5,1121,341.42
James Harden,SG,30,HOU,68,2483,1514,299,843,800,446,512,125,60,2335,690.78
Maurice Harkless,SF,26,TOT,62,1427,283,34,98,66,240,68,58,33,357,138.25
Montrezl Harrell,C,26,LAC,63,1749,812,0,18,351,445,107,39,72,1173,325.1
Gary Harris,SG,25,DEN,56,1780,519,70,210,92,163,118,76,14,581,196.65
Joe Harris,SF,28,BRK,69,2123,784,172,406,89,298,144,41,17,998,314.85
Tobias Harris,PF,27,PHI,72,2469,1173,131,357,216,495,227,53,40,1411,440.58
Josh Hart,SF,24,NOP,65,1755,532,121,354,115,425,108,63,23,656,253.15
Jaxson Hayes,C,19,NOP,64,1080,259,1,4,190,259,56,26,55,472,144.28
Gordon Hayward,SF,29,BOS,52,1740,700,85,222,145,348,212,38,22,909,290.38
Tyler Herro,SG,20,MIA,55,1508,631,116,298,100,224,121,34,9,743,240.5
Mario Hezonja,PF,24,POR,53,871,218,24,78,59,184,50,36,9,256,101.02
Buddy Hield,SG,27,SAC,72,2216,1162,271,688,136,328,213,66,17,1382,444.02
George Hill,PG,33,MIL,59,1271,376,81,176,101,177,180,47,5,554,183.85
Solomon Hill,SF,28,TOT,59,1088,278,63,171,54,165,104,43,12,323,130.88
Aaron Holiday,PG,23,IND,66,1617,563,87,221,87,156,225,55,16,627,220.23
Jrue Holiday,SG,29,NOP,61,2117,1006,122,346,182,293,408,99,48,1167,394.15
Justin Holiday,SG,30,IND,73,1826,486,134,331,67,238,93,87,46,603,222.43
Rondae Hollis-Jefferson,SF,25,TOR,60,1122,329,3,23,143,283,106,46,23,418,152
Al Horford,C,33,PHI,67,2025,709,99,283,80,456,270,52,61,798,309.08
Danuel House,SF,26,HOU,63,1913,539,129,355,90,267,85,67,34,662,234.12
Dwight Howard,C,34,LAL,69,1306,277,3,5,214,507,45,31,79,517,186.22
Kevin Huerter,SG,21,ATL,56,1760,610,127,334,64,228,213,51,27,684,249.75
De'Andre Hunter,SF,22,ATL,63,2018,683,108,304,144,286,112,44,18,778,260.08
Serge Ibaka,C,30,TOR,55,1485,670,70,182,124,452,77,28,46,845,273.08
Ersan İlyasova,PF,32,MIL,63,986,313,50,137,87,302,49,24,17,414,152.05
Joe Ingles,SF,32,UTA,72,2137,553,141,353,94,278,373,65,11,707,277.58
Brandon Ingram,PF,22,NOP,62,2104,1096,150,384,368,380,259,61,38,1477,438.28
Wesley Iwundu,SF,25,ORL,52,953,233,28,82,97,131,60,25,13,300,103.35
Frank Jackson,PG,21,NOP,59,797,331,47,144,75,83,61,17,4,371,119.47
Jaren Jackson Jr.,C,20,MEM,57,1622,753,145,368,186,262,78,40,92,990,303.5
Justin Jackson,PF,24,DAL,65,1045,341,48,163,50,154,52,15,10,360,128.25
LeBron James,PG,35,LAL,67,2316,1303,148,425,381,525,684,78,36,1698,562.22
Cameron Johnson,PF,23,PHO,57,1255,405,106,272,57,187,69,36,20,504,175.05
Nikola Jokić,C,24,DEN,73,2336,1071,80,255,301,711,512,85,44,1456,493.85
Damian Jones,C,24,ATL,55,887,178,2,9,84,206,35,26,40,306,101.35
Derrick Jones Jr.,SF,22,MIA,59,1375,349,37,132,123,233,62,58,38,500,165
Tyus Jones,PG,23,MEM,65,1232,429,47,124,58,103,285,59,6,484,178.43
DeAndre Jordan,C,31,BRK,56,1234,287,0,0,122,561,105,18,52,465,186.08
Cory Joseph,PG,28,SAC,72,1759,412,56,159,70,188,251,53,21,458,184.68
Enes Kanter,C,27,BOS,58,983,348,1,7,99,431,56,22,41,469,169.48
Maxi Kleber,C,28,DAL,74,1890,514,119,319,93,388,88,25,83,672,247.1
Kevin Knox,SF,20,NYK,65,1166,401,65,199,101,184,61,23,28,419,154.95
Furkan Korkmaz,SG,22,PHI,72,1559,563,143,356,102,168,79,41,16,704,225.93
Kyle Korver,SF,38,MIL,58,960,293,99,237,41,122,68,26,12,386,135.65
Kyle Kuzma,PF,24,LAL,61,1526,668,86,272,155,273,80,28,26,782,248.22
Zach LaVine,SG,24,CHI,60,2085,1199,184,484,334,289,254,88,28,1530,453.58
Alex Len,C,26,TOT,55,970,319,16,59,105,321,50,23,48,438,153.6
Kawhi Leonard,SF,28,LAC,57,1848,1133,123,325,402,402,280,103,33,1543,454.38
Meyers Leonard,C,27,MIA,51,1034,234,53,128,28,260,55,14,15,309,122.58
Damian Lillard,PG,29,POR,66,2474,1349,270,674,518,284,530,70,22,1978,580.75
Brook Lopez,C,31,MIL,68,1817,671,102,325,152,312,99,46,163,813,284.12
Robin Lopez,C,31,MIL,66,958,299,35,105,53,161,45,10,45,357,123.05
Kevin Love,PF,31,CLE,56,1780,727,146,390,219,547,178,33,19,987,340.62
Kyle Lowry,PG,33,TOR,58,2098,803,164,466,343,292,433,82,26,1126,381.9
Trey Lyles,PF,24,SAS,63,1271,343,65,168,45,361,69,28,28,404,167.93
Thon Maker,C,22,DET,60,776,193,22,64,110,167,43,25,39,281,101.88
Wesley Matthews,SG,33,MIL,67,1635,422,108,297,68,166,92,38,9,494,177.15
CJ McCollum,SG,28,POR,70,2556,1356,194,512,185,297,310,54,42,1556,477.7
T.J. McConnell,PG,27,IND,71,1326,411,5,17,42,189,355,56,11,464,183.33
Doug McDermott,PF,28,IND,69,1372,547,128,294,58,174,78,12,5,710,214.4
JaVale McGee,C,32,LAL,68,1130,306,3,6,82,390,37,36,94,446,163.8
Rodney McGruder,SG,28,LAC,56,871,181,24,89,34,151,36,26,8,187,81.6
Ben McLemore,SG,26,HOU,71,1619,545,181,452,67,157,58,45,16,715,230.6
Nicolò Melli,C,29,NOP,60,1042,323,69,206,73,180,82,34,23,395,146.8
De'Anthony Melton,PG,21,MEM,60,1167,401,40,140,121,220,175,77,20,455,178
Khris Middleton,SF,28,MIL,62,1853,947,147,354,227,382,265,53,7,1297,391.6
Patty Mills,PG,31,SAS,66,1485,598,154,403,112,108,118,53,6,767,238.45
Paul Millsap,PF,34,DEN,51,1240,438,54,124,141,293,83,44,30,591,194.22
Donovan Mitchell,SG,23,UTA,69,2364,1342,173,473,322,304,294,70,14,1655,484.83
Malik Monk,SG,21,CHO,55,1169,488,58,204,100,157,114,25,16,564,182.38
E'Twaun Moore,SG,30,NOP,56,1020,437,63,167,45,131,78,32,11,466,155
Ja Morant,PG,20,MEM,67,2074,937,60,179,308,259,488,58,18,1193,374.88
Marcus Morris,SF-PF,30,TOT,62,1936,810,142,348,220,311,86,47,30,1033,314.68
Markieff Morris,PF,30,TOT,58,1187,458,88,228,85,218,77,31,17,560,187.55
Monte Morris,PG,24,DEN,73,1636,566,65,172,89,137,255,55,17,660,221.52
Emmanuel Mudiay,PG,23,UTA,54,850,327,30,87,83,126,116,24,10,395,130.8
Dejounte Murray,PG,23,SAS,66,1687,637,41,111,114,383,271,111,17,720,269.92
Jamal Murray,PG,22,DEN,59,1904,894,112,324,185,236,284,67,17,1091,340.52
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,405,115,285,70,104,106,41,4,504,169.95
Abdel Nader,SF,26,OKC,55,867,263,48,128,66,100,38,23,20,345,110.22
Larry Nance Jr.,C,27,CLE,56,1472,431,56,159,74,409,123,56,22,564,210.85
Shabazz Napier,PG,28,TOT,56,1344,456,76,240,153,158,262,69,11,578,209.88
Raul Neto,PG,27,PHI,54,668,222,34,88,47,61,95,24,6,275,93.7
Georges Niang,PF,26,UTA,66,923,322,90,225,24,127,44,18,5,392,133.5
Nerlens Noel,C,25,OKC,61,1127,269,1,3,106,300,57,59,91,449,153.9
Frank Ntilikina,PG,21,NYK,57,1187,333,44,137,59,121,172,54,16,357,141.4
Kendrick Nunn,SG,24,MIA,67,1962,914,137,391,100,180,220,56,15,1024,322.48
Royce O'Neale,PF,26,UTA,71,2049,365,92,244,55,389,180,59,32,450,205.65
Semi Ojeleye,PF,25,BOS,69,1011,196,48,127,32,145,37,21,5,236,93.42
Elie Okobo,PG,22,PHO,55,719,181,25,71,71,90,115,24,4,219,87.18
Josh Okogie,SG,21,MIN,62,1547,398,41,154,191,268,99,68,26,533,186.3
Kelly Olynyk,C,28,MIA,67,1300,398,95,234,100,305,116,45,23,549,200.65
Cedi Osman,SF,24,CLE,65,1910,609,123,321,94,231,154,54,16,718,246.17
Kelly Oubre Jr.,SF,24,PHO,56,1933,826,108,307,246,361,85,71,40,1046,322.17
Eric Paschall,PF,23,GSW,60,1654,640,37,129,212,275,127,32,13,837,245.38
Patrick Patterson,PF,30,LAC,59,776,233,67,172,43,151,41,7,3,292,107.53
Chris Paul,PG,34,OKC,70,2208,887,111,304,279,349,472,111,11,1232,401.88
Mason Plumlee,C,29,DEN,61,1057,288,0,5,155,317,154,33,38,437,159.88
Jakob Poeltl,C,24,SAS,66,1171,266,0,0,86,375,116,37,95,372,158.08
Jordan Poole,SG,20,GSW,57,1274,502,74,265,119,118,134,35,10,503,179.95
Michael Porter Jr.,PF,21,DEN,55,903,383,62,147,72,259,46,27,25,512,167.95
Bobby Portis,C,24,NYK,66,1393,589,67,187,93,338,98,32,18,668,228.15
Kristaps Porziņģis,PF,24,DAL,57,1814,932,142,403,283,540,102,41,115,1164,387.7
Norman Powell,SG,26,TOR,52,1479,598,109,273,153,190,91,60,21,830,243.8
Taurean Prince,SF,25,BRK,64,1857,739,146,431,89,381,116,57,25,773,289.72
Julius Randle,PF,25,NYK,64,2080,1006,64,231,352,622,198,51,22,1248,401.38
Cam Reddish,SF,20,ATL,58,1551,554,83,250,126,216,87,62,28,610,211.15
J.J. Redick,SG,35,NOP,60,1581,631,180,397,185,151,119,20,10,917,266.7
Josh Richardson,SG,26,PHI,55,1693,646,85,249,141,174,162,52,36,755,242.7
Austin Rivers,SG,27,HOU,68,1594,501,96,270,111,175,113,49,10,596,201.35
Duncan Robinson,SG,25,MIA,73,2166,687,270,606,72,232,102,35,19,983,311.4
Glenn Robinson III,SF,26,TOT,62,1786,592,77,197,86,270,96,54,16,727,230.85
Jerome Robinson,SG,22,TOT,63,979,310,49,153,57,129,87,28,17,319,123.42
Mitchell Robinson,C,21,NYK,61,1412,341,0,0,148,428,36,52,119,590,195.5
Terrence Ross,SG,28,ORL,69,1889,846,177,504,184,222,82,77,24,1016,319.33
Terry Rozier,PG,25,CHO,63,2164,941,172,423,190,276,259,61,10,1134,363.72
Ricky Rubio,PG,29,PHO,65,2016,692,78,216,226,304,570,94,11,847,328.52
Domantas Sabonis,PF,23,IND,62,2159,848,17,67,296,771,310,47,30,1147,390.45
Dario Šarić,PF,25,PHO,66,1632,538,84,235,128,406,123,37,16,704,244.95
Tomáš Satoranský,PG,28,CHI,65,1878,551,64,199,121,254,354,80,7,644,248.33
Dennis Schröder,PG,26,OKC,65,1999,965,125,325,236,236,262,45,14,1229,362.4
Mike Scott,PF,31,PHI,68,1207,350,80,217,37,248,56,21,5,408,154.12
Collin Sexton,SG,21,CLE,65,2143,1086,97,255,267,204,192,65,7,1349,372.15
Landry Shamet,SG,22,LAC,53,1452,391,111,296,76,100,99,20,10,492,163.78
Pascal Siakam,PF,25,TOR,60,2110,1104,131,365,303,439,207,61,53,1371,423.47
Ben Simmons,PG,23,PHI,57,2017,647,2,7,298,444,455,119,33,937,325.52
Anfernee Simons,SG,20,POR,70,1449,536,75,226,92,152,97,26,10,579,189.82
Marcus Smart,SG,25,BOS,60,1919,682,137,395,152,225,291,101,29,776,291.12
Ish Smith,PG,31,WAS,68,1787,689,62,169,86,219,334,59,30,740,265.1
Tony Snell,SF,28,DET,59,1641,382,102,254,32,111,127,32,15,474,163.75
Jayson Tatum,PF,21,BOS,66,2265,1226,189,469,313,460,200,93,57,1547,477.08
Jeff Teague,PG,31,TOT,59,1464,489,43,117,197,142,308,44,19,641,213.73
Garrett Temple,SG,33,BRK,62,1730,587,127,386,87,218,156,49,29,641,237.32
Daniel Theis,C,27,BOS,65,1566,426,32,96,114,426,111,37,84,601,216.5
Tristan Thompson,C,28,CLE,57,1721,562,9,23,161,577,120,33,50,684,249.78
Matisse Thybulle,SG,22,PHI,65,1287,265,56,157,41,107,79,94,47,305,126.25
Anthony Tolliver,PF,34,TOT,55,872,182,49,145,29,154,42,19,11,200,89.67
Gary Trent Jr.,SG,21,POR,61,1332,441,112,268,45,100,61,48,16,541,172.95
P.J. Tucker,PF,34,HOU,72,2467,426,107,299,48,476,115,77,36,500,228.02
Myles Turner,C,23,IND,62,1826,587,86,250,169,407,72,46,132,749,266.58
Jonas Valančiūnas,C,27,MEM,70,1845,739,32,91,200,788,131,30,76,1044,351.33
Fred VanVleet,PG,25,TOR,54,1928,773,146,374,198,203,357,100,17,952,326.88
Nikola Vučević,C,29,ORL,62,1998,1033,98,289,167,673,222,54,47,1215,415.2
Kemba Walker,PG,29,BOS,56,1742,889,180,473,242,217,268,48,28,1145,358.55
Lonnie Walker,SG,21,SAS,61,988,357,41,101,61,139,68,32,14,389,132.22
Brad Wanamaker,PG,30,BOS,71,1369,362,37,102,136,144,179,61,14,487,165.28
T.J. Warren,SF,26,IND,67,2202,997,91,226,204,280,99,78,34,1326,359.63
P.J. Washington,PF,21,CHO,58,1759,589,86,230,136,316,123,51,44,710,244.4
Russell Westbrook,PG,31,HOU,57,2049,1281,55,213,380,451,401,93,20,1553,474.15
Coby White,SG,19,CHI,65,1674,792,133,376,129,230,175,49,6,859,287.6
Derrick White,SG,25,SAS,68,1677,552,79,216,211,223,241,44,59,765,252.75
Hassan Whiteside,C,30,POR,67,2008,702,4,7,239,905,78,26,196,1040,362.68
Andrew Wiggins,SF-SG,24,TOT,54,1858,978,111,334,268,274,198,45,53,1175,357.25
Grant Williams,PF,21,BOS,69,1043,211,24,96,54,178,68,30,36,237,104.05
Lou Williams,SG,33,LAC,65,1864,936,111,315,339,201,365,43,12,1185,362.33
Marvin Williams,PF,33,TOT,58,1129,267,56,156,57,183,60,36,30,343,128.78
Christian Wood,PF,24,DET,62,1325,508,54,140,242,390,60,34,54,810,243.75
Delon Wright,SG,27,DAL,73,1570,411,47,127,100,280,244,85,22,504,203.18
Thaddeus Young,PF,31,CHI,64,1591,601,79,222,72,315,117,92,23,659,238.43
Trae Young,PG,21,ATL,60,2120,1249,205,568,559,255,560,65,8,1778,530.65
Cody Zeller,C,27,CHO,58,1341,479,18,75,179,411,88,40,25,642,213.48
Ivica Zubac,C,22,LAC,72,1326,385,0,2,166,543,82,16,66,596,211.02
